,title,total_sales,japan_sales,na_sales,pal_sales,other_sales,platform,developer
5315,Disney Magic World 2,0.58,0.23,0.07,0.25,0.02,3DS,High Horse Entertainment
5316,My Secret World by Imagine,0.58,,0.38,0.19,0.01,DS,Ubisoft Milan
5318,Tenchu 2: Birth of the Stealth Assassins,0.58,,0.32,0.22,0.04,PS,Acquire
5320,Tony Hawk's Pro Skater 4,0.58,,0.45,0.12,0.02,GC,Neversoft Entertainment
5321,Disgaea 4: A Promise Unforgotten,0.58,0.14,0.27,0.11,0.06,PS3,Nippon Ichi Software
5322,Doom 3 BFG Edition,0.58,,0.26,0.22,0.1,PS3,Unknown
5323,NHL 06,0.58,,0.48,0.02,0.08,PS2,EA Canada
5324,Transformers: The Game,0.58,,0.5,0.03,0.05,Wii,Traveller's Tales
5325,NFL Blitz 2000,0.58,,0.55,0.02,,N64,Avalanche Software
5326,Madden NFL 2002,0.58,,0.53,0.02,0.03,XB,EA Sports
5327,NCAA Football 10,0.58,,0.28,0.22,0.07,PS2,EA Tiburon
5328,Rapala: We Fish,0.57,,0.52,0.02,0.04,Wii,FUN Labs
5329,Theme Park,0.57,0.13,0.24,0.16,0.04,PS,Bullfrog Productions
5330,The Lego Ninjago Movie Videogame,0.57,,0.16,0.32,0.09,PS4,Traveller's Tales
5331,Far Cry Instincts,0.57,,0.32,0.24,0.02,XB,Ubisoft Montreal
5332,ATV Offroad Fury: Blazin' Trails,0.57,,0.53,,0.04,PSP,Climax Group
5333,Hasbro Family Game Night,0.57,,0.28,0.22,0.07,PS2,EA Bright Light
5334,Yokai Sangokushi,0.57,0.57,,,,3DS,Level 5
5335,Tony Hawk's Pro Skater 4,0.57,,0.41,0.15,0.01,GBA,Vicarious Visions
5336,Tomb Raider: Anniversary,0.57,,0.21,0.23,0.13,PSP,Crystal Dynamics
5337,BlazBlue: Calamity Trigger,0.57,0.06,0.36,0.1,0.06,PS3,Arc System Works
5338,Resident Evil: Revelations 2,0.57,0.11,0.14,0.25,0.07,PS4,Capcom
5339,LEGO Marvel Super Heroes 2,0.57,,0.32,0.2,0.05,XOne,Traveller's Tales
5340,Blacksite: Area 51,0.57,,0.29,0.23,0.06,X360,Midway Studios Austin
5341,Ultra Street Fighter II: The Final Challengers,0.57,0.09,0.22,0.22,0.04,NS,Capcom
5342,Petz Dogz 2,0.57,,0.52,0.01,0.04,Wii,Yuke's Media Creations
5343,StarCraft II: Legacy of the Void,0.57,,0.23,0.3,0.05,PC,Blizzard Entertainment
5344,Rock Band 3,0.57,,0.43,0.09,0.06,PS3,Harmonix Music Systems
5345,Lego Marvel Super Heroes: Universe in Peril,0.57,,0.11,0.33,0.13,PSV,TT Fusion
5346,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,0.57,0.54,,,0.04,PS,Bandai
5347,Spyro Orange: The Cortex Conspiracy,0.57,,0.41,0.15,0.01,GBA,Vicarious Visions
5348,Harvest Moon: The Tale of Two Towns,0.57,0.22,0.27,0.06,0.03,DS,Marvelous Interactive
5349,Beyond The Beyond,0.57,0.35,0.11,0.08,0.04,PS,Camelot Software Planning
5350,Ben 10: Alien Force,0.57,,0.22,0.02,0.33,PS2,Monkey Bar Games
5351,Mega Man Star Force 2: Zerker x Ninja / Saurian,0.57,0.31,0.24,,0.02,DS,Capcom
5352,Madden NFL 06,0.57,,0.44,0.11,0.02,GC,EA Tiburon
5353,London 2012: The Official Video Game of the Olympic Games,0.57,,0.07,0.44,0.06,X360,Sega Studios Australia
5354,NHL 10,0.57,,0.38,0.12,0.07,PS3,EA Canada
5355,Harvest Moon: Sunshine Islands,0.57,0.17,0.35,0.03,0.03,DS,Marvelous Interactive
5356,Iron Man,0.57,,0.27,0.24,0.06,X360,Secret Level
5357,Rock Band 4,0.57,,0.41,0.06,0.1,PS4,Harmonix Music Systems
5358,Zumba Fitness,0.57,,0.28,0.21,0.07,PS3,"Pipeworks Software, Inc."
5363,Nazo no Murasame-Jou (FDS),0.57,0.57,,,,NES,Nintendo EAD
5364,NBA Hangtime,0.57,,0.48,0.08,,N64,Fun Com
5368,Disney Universe,0.57,,0.37,0.14,0.05,X360,Disney Interactive Studios
5369,Blood Wake,0.57,,0.43,0.12,0.02,XB,Stormfront Studios
5370,Dynasty Warriors 5: Xtreme Legends,0.57,0.35,0.11,0.08,0.03,PS2,Omega Force
5372,SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,0.57,,0.52,,0.04,DS,Natsume
5373,WWE 2K17,0.57,,0.26,0.26,0.05,XOne,Yuke's
5374,Jampack Summer 2002,0.57,,0.28,0.22,0.07,PS2,Sony Computer Entertainment America
5375,Trivial Pursuit,0.57,,0.2,0.3,0.06,Wii,Adrenalin Interactive
5376,FIFA World Cup Germany 2006,0.57,,0.47,0.02,0.08,PS2,EA Canada
5377,Wreckless: ThE YaKuza MisSiOns,0.57,0.02,0.42,0.11,0.02,XB,Bunkasha Publishing
5379,Starlink: Battle for Atlas,0.57,,0.35,0.17,0.05,NS,Ubisoft Toronto
5380,Super Bomberman,0.57,0.57,,,,SNES,Produce!
5381,Top Spin 3,0.57,,0.08,0.37,0.12,PS3,Pam Development
5382,SpongeBob SquarePants: Battle for Bikini Bottom,0.57,,0.45,0.1,0.02,XB,Heavy Iron Studios
5383,Up,0.57,,0.22,0.29,0.06,Wii,THQ
5384,Spider-Man 3,0.57,,0.49,0.04,0.04,X360,Treyarch
5385,Tony Hawk: Shred,0.57,,0.41,0.11,0.04,Wii,Buzz Monkey Software
5386,FIFA 15,0.57,,0.15,0.37,0.04,Wii,EA Canada
5387,SD Gundam G Generation Neo,0.57,0.57,,,,PS2,Bandai
5388,Resident Evil Outbreak File #2,0.57,0.17,0.19,0.15,0.05,PS2,Capcom Production Studio 1
5389,NHL 14,0.57,,0.28,0.19,0.1,PS3,EA Canada
5390,The Sims 3: World Adventures,0.57,,0.02,0.18,0.37,PC,EA Redwood Shores
5391,Bob the Builder: Can We Fix It?,0.57,,0.31,0.21,0.04,PS,Steel Monkeys
5392,XIII,0.57,,0.28,0.22,0.07,PS2,Ubisoft Paris
5393,Bratz 4 Real,0.57,,0.29,0.22,0.06,DS,THQ
5394,LEGO Jurassic World,0.57,0.03,0.29,0.2,0.05,WiiU,Traveller's Tales
5395,NHL 18,0.57,,0.31,0.16,0.1,PS4,EA Canada
5397,The Legend of Spyro: Dawn of the Dragon,0.57,,0.34,0.17,0.05,Wii,Etranges Libellules
5399,Breath of Fire IV,0.56,0.34,0.11,0.08,0.04,PS,Capcom
5400,True Crime: Streets of LA,0.56,,0.44,0.11,0.02,GC,EXAKT Entertainment
5401,Everybody's Golf,0.56,0.17,0.12,0.22,0.06,PS4,Clap Hanz
5402,Petz Wild Animals: Tigerz,0.56,,0.52,,0.04,DS,Magic Pockets
5403,The Amazing Spider-Man 2 (2014),0.56,0.02,0.2,0.26,0.09,PS4,Beenox
5404,Odin Sphere,0.56,0.09,0.23,0.18,0.06,PS2,Vanillaware
5405,Final Fantasy IV: The Complete Collection,0.56,0.27,0.13,0.09,0.06,PSP,Matrix Software
5406,The Incredible Hulk,0.56,,0.4,0.15,0.01,GBA,Pocket Studios
5408,Ms. Pac-Man Maze Madness,0.56,,0.4,0.15,0.01,GBA,Full-Fat
5410,Soul Sacrifice,0.56,0.22,0.15,0.11,0.08,PSV,Marvelous Entertainment
5411,Jillian Michaels Fitness Ultimatum 2010,0.56,,0.51,0.01,0.04,Wii,Collision Studios
5412,Arena Football,0.56,,0.28,0.22,0.07,PS2,EA Tiburon
5413,The Lord of the Rings: The Return of the King,0.56,,0.4,0.15,0.01,GBA,Griptonite Games
5414,NHL Hitz 20-02,0.56,,0.28,0.22,0.07,PS2,EA Black Box
5415,Classic NES Series: Dr. Mario,0.56,0.13,0.31,0.11,0.01,GBA,Nintendo
5416,The Sims: Bustin' Out,0.56,,0.4,0.14,0.02,XB,Maxis
5417,"Warhammer 40,000: Space Marine",0.56,,0.25,0.26,0.06,X360,Relic Entertainment
5418,NCAA March Madness 07,0.56,,0.28,0.22,0.07,PS2,EA Canada
5419,LEGO Rock Band,0.56,,0.4,0.11,0.05,X360,TT Games / Harmonix Music Systems
5420,"Monsters, Inc. Scream Team",0.56,,0.31,0.21,0.04,PS,Artificial Mind and Movement
5421,Harry Potter Collection,0.56,,0.28,0.21,0.07,PS2,Electronic Arts
5422,Tony Hawk's Project 8,0.56,,0.41,0.08,0.07,PSP,Page 44 Studios
5423,Yu-Gi-Oh! World Championship Tournament 2004,0.56,,0.4,0.15,0.01,GBA,KCEJ
5424,Cabela's Big Game Hunter 2005 Adventures,0.56,,0.28,0.21,0.07,PS2,Activision
5425,Top Spin 3,0.56,,0.09,0.4,0.07,X360,Pam Development
5426,Knockout Kings 2001,0.56,,0.28,0.21,0.07,PS2,Black Ops Entertainment
5427,Disney Infinity 3.0,0.56,,0.22,0.25,0.09,PS3,Avalanche Software
5428,Army Men: Sarge's Heroes,0.56,,0.31,0.21,0.04,PS,3DO
5429,Tom Clancy's HAWX,0.56,0.05,0.21,0.22,0.09,PS3,Ubisoft Romania
5430,Petz Dogz 2,0.56,,0.28,0.21,0.07,PS2,Yuke's Media Creations
5431,Battlefield 2: Modern Combat,0.56,,0.39,0.15,0.02,XB,Digtal Illusions
5432,Xenoblade Chronicles,0.56,0.13,0.24,0.15,0.04,3DS,Monolith Soft
5433,All-Star Baseball 2002,0.56,,0.27,0.21,0.07,PS2,Acclaim Entertainment
5434,Tetris Party Deluxe,0.56,0.02,0.33,0.16,0.05,Wii,"Tetris Online, Inc"
5435,Puzzle & Dragons Z + Super Mario Bros. Edition,0.56,0.35,0.09,0.11,0.02,3DS,GungHo Online Entertainment
5436,Metroid: Samus Returns,0.56,0.07,0.3,0.15,0.05,3DS,Mercury Steam
5437,WWE 2K16,0.56,,0.24,0.23,0.09,PS3,Yuke's
5438,Backyard NFL Football,0.56,,0.4,0.15,0.01,GBA,Torus Games
5439,Bolt,0.56,,0.19,0.31,0.06,Wii,Avalanche Software
5440,Need for Speed: Most Wanted,0.56,,0.43,0.11,0.02,GC,EA Canada
5441,NASCAR Rumble,0.56,,0.31,0.21,0.04,PS,Electronic Arts
5443,WWE Raw 2,0.56,,0.43,0.11,0.02,XB,"Anchor, Inc."
5444,Mega Man X2,0.56,0.45,0.09,0.02,,SNES,Capcom
5445,Resident Evil 2,0.56,0.07,0.39,0.09,0.01,N64,Angel Studios
5448,Manhunt 2,0.56,,0.27,0.21,0.07,PS2,Rockstar London
5449,Fullmetal Alchemist and the Broken Angel,0.56,0.26,0.15,0.12,0.04,PS2,Racjin
5450,Assassin's Creed: Unity,0.56,,0.2,0.31,0.04,PC,Ubisoft Montreal
5451,Wolfenstein,0.56,,0.28,0.22,0.06,X360,Raven Software
5452,Dogz,0.56,,0.5,0.01,0.04,DS,MTO
5453,Hamtaro: Ham-Hams Unite!,0.56,0.56,,,,GBC,Shogakukan
5454,Batman Begins,0.56,,0.27,0.21,0.07,PS2,Eurocom Entertainment Software
5455,DOOM VFR,0.56,,0.22,0.25,0.09,PS4,id Software
5456,Dr. Seuss' The Cat in the Hat,0.56,,0.27,0.21,0.07,PS2,Magenta Software
5457,Tony Hawk's Proving Ground,0.56,,0.49,0.02,0.04,X360,Neversoft Entertainment
5458,Just Cause 4,0.56,0.03,0.18,0.26,0.09,PS4,Avalanche Studios
5459,Barbie Groovy Games,0.56,,0.4,0.15,0.01,GBA,Digital Illusions (DICE)
5461,Archer Maclean's Mercury,0.56,,0.17,0.24,0.15,PSP,Awesome Studios
5462,Yu-Gi-Oh! Reshef of Destruction,0.56,,0.4,0.15,0.01,GBA,Konami
5463,Blinx: The Time Sweeper,0.56,,0.39,0.15,0.02,XB,Artoon
5464,ESPN NFL Football,0.56,,0.27,0.21,0.07,PS2,Visual Concepts
5465,Fatal Fury Special,0.56,0.56,,,,SNES,Takara
5466,Major League Baseball 2K5,0.56,,0.52,0.02,0.02,XB,Kush Games
5467,DS Bimoji Training,0.56,0.56,,,,DS,Nuevo Retro Games / NST
5468,Enslaved: Odyssey to the West,0.56,0.01,0.24,0.23,0.08,PS3,Ninja Theory
5469,Dora The Explorer: Dora Saves the Snow Princess,0.56,,0.49,0.02,0.04,Wii,High Voltage Software
5470,No More Heroes,0.56,0.04,0.29,0.17,0.05,Wii,Grasshopper Manufacture
5471,Soldier of Fortune: Gold Edition,0.56,,0.27,0.21,0.07,PS2,Pipe Dream Interactive
5472,Sonic Forces,0.56,0.01,0.15,0.31,0.09,PS4,Sonic Team
5474,Kingdom Come: Deliverance,0.56,,0.18,0.28,0.09,PS4,Warhorse Studios
5475,MX 2002 Featuring Ricky Carmichael,0.56,,0.27,0.21,0.07,PS2,Pacific Coast Power & Light
5476,Frontlines: Fuel of War,0.56,0.01,0.34,0.15,0.05,X360,Kaos Studios
5477,NCAA Football 07,0.56,,0.42,0.12,0.01,XB,EA Sports
5478,Lunar: Silver Star Story Complete,0.55,0.06,0.27,0.18,0.04,PS,Game Arts
5479,NBA Showtime: NBA on NBC,0.55,,0.31,0.21,0.04,PS,Eurocom Entertainment Software
5481,Soul Reaver 2,0.55,,0.27,0.21,0.07,PS2,Crystal Dynamics
5482,Lords of the Fallen,0.55,0.02,0.2,0.24,0.09,PS4,DECK13 Interactive
5483,Metal Gear Solid 3: Subsistence,0.55,0.15,0.34,0.01,0.06,PS2,Kojima Productions
5484,The Godfather (old US sales),0.55,,0.42,0.11,0.02,XB,Headgate
5485,Daytona USA,0.55,0.55,,,,SAT,Sega-AM2
5486,WWF Raw (2002),0.55,,0.4,0.13,0.02,XB,Anchor
5487,Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,0.55,0.15,0.12,0.25,0.03,3DS,Level 5
5488,Shin Super Robot Taisen,0.55,0.52,,,0.04,PS,Winky Soft
5489,Disney Infinity 2.0: Marvel Super Heroes,0.55,,0.35,0.15,0.05,XOne,Avalanche Software
5490,Catz,0.55,,0.49,0.02,0.04,DS,Powerhead Games
5491,Ratchet & Clank: Quest for Booty,0.55,,,0.52,0.03,PS3,Insomniac Games
5492,Jump Super Stars,0.55,0.55,,,,DS,Ganbarion
5493,Inazuma Eleven GO: Dark / Shine,0.55,0.48,,0.07,,3DS,Level 5
5494,Poochy & Yoshi's Woolly World,0.55,0.17,0.2,0.16,0.03,3DS,Good-Feel
5495,MX vs. ATV: Alive,0.55,,0.37,0.13,0.05,X360,Rainbow Studios
5496,The Activision Decathlon,0.55,,0.52,0.03,0.01,2600,Activision
5497,Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,0.55,,0.31,0.21,0.04,PS,Taito Corporation
5498,Fighting Force 2,0.55,,0.31,0.21,0.04,PS,Core Design Ltd.
5499,Sakura Wars,0.55,0.55,,,,SAT,Overworks
5500,Extermination,0.55,0.12,0.21,0.16,0.05,PS2,Deep Space
5501,Batman: Vengeance,0.55,,0.27,0.21,0.07,PS2,Ubisoft Montreal
5502,Disgaea 3: Absence of Justice,0.55,0.11,0.36,0.03,0.05,PS3,Nippon Ichi Software
5503,Rapala Tournament Fishing!,0.55,,0.51,,0.04,Wii,Magic Wand Productions
5504,Sniper Elite 4,0.55,,0.21,0.25,0.09,PS4,Rebellion Developments
5505,Secret Agent Clank(US sales),0.55,,0.33,0.22,,PSP,High Impact Games
5506,Madagascar: Escape 2 Africa,0.55,,0.31,0.18,0.06,Wii,Toys for Bob
5507,Derby Stallion 04,0.55,0.55,,,,PS2,ParityBit
5508,NBA 2K8,0.55,,0.5,0.01,0.05,PS3,Visual Concepts
5509,Purr Pals,0.55,,0.18,0.35,0.02,DS,inXile
5510,Skylanders: SuperChargers,0.55,,0.35,0.15,0.05,X360,Vicarious Visions
5511,Tony Hawk's Pro Skater 3,0.55,,0.34,0.18,0.02,XB,Neversoft Entertainment
5512,Mega Man Zero,0.55,0.24,0.22,0.08,0.01,GBA,Inti Creates
5514,Contender 2,0.55,,0.31,0.21,0.04,PS,Bam Entertainment
5515,Star Wars: Dark Forces,0.55,,0.31,0.21,0.04,PS,LucasArts
5516,Grease,0.55,,0.26,0.24,0.05,Wii,Zoe Mode
5526,Tiger Woods PGA Tour 13,0.55,,0.24,0.22,0.08,PS3,EA Tiburon
5527,Legends of WrestleMania,0.55,,0.3,0.17,0.07,PS3,Yuke's
5528,SD Gundam G Generation Zero,0.55,0.51,,,0.04,PS,Bandai
5530,Kingdom Hearts: Final Mix,0.55,0.55,,,,PS2,SquareSoft
5532,Super Robot Taisen F,0.55,0.55,,,,SAT,Banpresto
5533,Spec Ops: The Line,0.55,0.04,0.19,0.24,0.07,PS3,Yager Development
5534,Shrek 2,0.55,,0.4,0.13,0.02,XB,"Luxoflux, Inc."
5535,Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,0.55,0.55,,,,PS2,Smilebit
5536,Monster Jam: Path of Destruction,0.55,,0.49,0.02,0.04,Wii,Virtuos
5537,SpongeBob SquarePants: SuperSponge,0.55,,0.39,0.15,0.01,GBA,Climax Group
5538,Super Robot Taisen F Kanketsuhen,0.55,0.55,,,,SAT,Banpresto
5539,ZhuZhu Pets 2: Featuring The Wild Bunch,0.55,,0.4,0.11,0.04,DS,Black Lantern Studios
5541,Rory McIlroy PGA Tour,0.55,,0.19,0.27,0.09,PS4,EA Tiburon
5542,Donkey Kong Jungle Climber,0.55,0.24,0.25,0.03,0.03,DS,Paon Corporation
5543,Tak and the Power of Juju,0.55,,0.39,0.15,0.01,GBA,Avalanche Software
5544,Lips: Number One Hits,0.55,,0.15,0.34,0.06,X360,iNiS
5546,Mortal Kombat 3,0.55,0.02,0.29,0.2,0.04,PS,Midway Games
5547,Petz Catz Clan,0.55,,0.47,0.03,0.04,DS,Ubisoft
5548,Turok: Evolution,0.55,,0.39,0.14,0.02,XB,Acclaim Studios Austin
5549,Jak X: Combat Racing,0.55,,0.45,0.02,0.07,PS2,Naughty Dog
5551,Project CARS 2,0.55,0.02,0.1,0.35,0.08,PS4,Slightly Mad Studios
5552,Viva Pinata: Pocket Paradise,0.55,,0.26,0.23,0.06,DS,Rare Ltd.
5553,American Idol,0.55,,0.27,0.21,0.07,PS2,Hothouse Creations
5554,Top Gun: Fire at Will!,0.55,,0.3,0.21,0.04,PS,MicroProse
5555,Barbie Horse Adventures: Riding Camp,0.55,,0.5,,0.04,DS,Pixel Tales
5556,Disney Infinity 3.0,0.55,,0.27,0.23,0.05,WiiU,Avalanche Software
5557,Red Dead Revolver,0.55,,0.4,0.12,0.02,XB,Rockstar San Diego
5558,CrossworDS,0.55,,0.5,,0.04,DS,Nuevo Retro Games / NST
5560,ModNation Racers,0.54,0.02,0.11,0.27,0.14,PSP,SCE San Diego Studio
5561,Dynasty Warriors: Gundam 3,0.54,0.36,0.11,0.05,0.02,PS3,Omega Force
5562,Iron Man,0.54,,0.36,,0.19,PS2,Artificial Mind and Movement
5563,SingStar Summer Party,0.54,,,0.06,0.48,PS2,SCEE London Studio
5564,NHL 14,0.54,,0.4,0.09,0.05,X360,EA Canada
5565,The SpongeBob SquarePants Movie,0.54,,0.4,0.12,0.02,XB,Heavy Iron Studios
5566,FIFA 07 Soccer,0.54,,0.16,0.35,0.04,XB,EA Canada
5567,Gekikuukan Pro Yakyuu: At the End of the Century 1999,0.54,0.54,,,,PS2,SquareSoft
5568,Are You Smarter than a 5th Grader? Make the Grade,0.54,,0.5,,0.04,Wii,THQ
5569,Tiger Woods PGA Tour 08,0.54,,0.49,0.02,0.04,X360,EA Tiburon
5570,Medarot 2: Kabuto / Kuwagata Version,0.54,0.54,,,,GB,Natsume
5571,Bulletstorm,0.54,0.01,0.24,0.2,0.09,PS3,People Can Fly
5572,Dance Dance Revolution Ultramix,0.54,,0.42,0.11,0.02,XB,Konami Computer Entertainment Hawaii
5573,F.E.A.R.,0.54,,0.18,0.27,0.09,PS3,Day 1 Studios
5574,Crash Tag Team Racing,0.54,,0.27,0.21,0.07,PS2,Radical Entertainment
5575,Enslaved: Odyssey to the West,0.54,,0.3,0.19,0.05,X360,Ninja Theory
5576,The Fairly Odd Parents: Breakin' Da Rules,0.54,,0.39,0.14,0.01,GBA,Helixe
5577,Tiger Woods PGA Tour 11,0.54,,0.23,0.26,0.05,Wii,EA Tiburon
5578,NBA Live 10,0.54,0.01,0.46,0.03,0.05,PS3,EA Canada
5579,Mega Man Battle Network 2,0.54,0.54,,,,GBA,Capcom
5580,Hotel Dusk: Room 215,0.54,0.22,0.26,0.04,0.03,DS,Cing
5582,Just Dance 2015,0.54,,0.36,0.13,0.05,XOne,Ubisoft Paris
5583,Assassin's Creed II,0.54,,0.01,0.45,0.07,PC,Ubisoft Montreal
5584,FIFA 18,0.54,0.01,0.06,0.4,0.08,PS3,EA Vancouver
5585,SRS: Street Racing Syndicate,0.54,,0.26,0.21,0.07,PS2,Eutechnyx
5586,System 3 presents Ferrari Challenge Trofeo Pirelli,0.54,,0.07,0.4,0.07,Wii,Eutechnyx
5587,Phineas and Ferb: Across the 2nd Dimension,0.54,,0.31,0.18,0.05,DS,Altron
5588,Let's Draw!,0.54,,0.24,0.24,0.06,DS,Agatsuma Entertainment
5589,Dragon Ball Z: Ultimate Tenkaichi,0.54,0.01,0.39,0.1,0.05,X360,Spike
5590,Def Jam: Fight for NY,0.54,,0.43,0.1,0.02,XB,Aki Corp.
5591,Action Force,0.54,,0.5,0.03,0.01,2600,Parker Bros.
5592,Valkyria Chronicles II,0.54,0.18,0.12,0.16,0.09,PSP,Sega WOW Overworks
5594,FIFA 99,0.54,,0.11,0.39,0.03,N64,EA Canada
5595,Gauntlet Legends,0.54,,0.43,0.1,0.01,N64,Atari Games
5596,Kidou Senshi Gundam: Extreme VS,0.54,0.54,,,,PS3,Bandai Namco Games
5597,Bust A Groove,0.54,0.35,0.09,0.06,0.04,PS,Metro
5598,Fire Emblem: Path of Radiance,0.54,0.16,0.29,0.08,0.01,GC,Intelligent Systems
5599,Pachi-Slot Aruze Oukoku 2,0.54,0.5,,,0.04,PS,Aruze Corp
5600,Monster High: Ghoul Spirit,0.54,,0.42,0.08,0.04,Wii,THQ
5601,METRO 2033,0.54,0.03,0.22,0.23,0.05,X360,4a-games
5602,Mario Tennis Ultra Smash,0.54,0.15,0.16,0.2,0.03,WiiU,Camelot Software Planning
5603,Petz Nursery,0.54,,0.5,,0.04,DS,Ubi Nagoya
5604,Tactics Ogre: Let Us Cling Together,0.54,0.27,0.15,0.07,0.05,PSP,Square Enix
5605,Tales of Symphonia Chronicles,0.54,0.13,0.21,0.13,0.07,PS3,Namco
5606,Two Worlds II,0.54,0.03,0.4,0.07,0.04,X360,Reality Pump
5607,Bratz: Rock Angelz,0.54,,0.39,0.14,0.01,GBA,Blitz Games
5610,50 Classic Games,0.54,,0.5,,0.04,DS,cerasus.media GmbH
5611,SSX Tricky,0.54,,0.42,0.11,0.01,GC,EA Canada
5612,The Walking Dead: Survival Instinct,0.54,,0.28,0.17,0.09,PS3,Terminal Reality
5613,Greg Hastings' Tournament Paintball,0.54,,0.46,0.06,0.02,XB,WXP
5614,Harry Potter and the Deathly Hallows - Part 1,0.54,,0.22,0.27,0.05,Wii,EA Bright Light
5615,Summer Sports: Paradise Island,0.54,,0.48,0.02,0.04,Wii,Digital Embryo
5616,Sacred 2: Fallen Angel,0.54,0.04,0.29,0.16,0.05,X360,Ascaron Entertainment
5617,World Soccer Winning Eleven 7 International (JP version),0.54,0.54,,,,PS2,Konami Computer Entertainment Tokyo
5618,ESPN NBA Basketball,0.54,,0.26,0.21,0.07,PS2,Visual Concepts
5619,The Sims 3: Pets,0.54,,0.54,,,PC,The Sims Studio
5621,Time Crisis: Razing Storm,0.54,0.07,0.18,0.21,0.08,PS3,Nex Entertainment
5622,Over the Hedge,0.54,,0.45,0.02,0.07,PS2,Edge of Reality
5623,Mat Hoffman's Pro BMX,0.54,,0.3,0.2,0.04,PS,Shaba Games
5624,Popeye,0.54,,0.5,0.03,0.01,2600,Parker Bros.
5625,Tatsunoko vs. Capcom: Ultimate All-Stars,0.54,0.03,0.3,0.16,0.05,Wii,Eighting
5626,Dragon Ball: Fusions,0.54,0.24,0.17,0.09,0.03,3DS,Ganbarion
5627,The Hobbit,0.54,,0.26,0.2,0.07,PS2,Midway Studios - Austin
5628,Manhunt 2,0.54,,0.25,0.23,0.06,Wii,Rockstar Toronto
5629,War of the Monsters,0.54,,0.26,0.2,0.07,PS2,Incognito Entertainment
5630,NBA Street Vol. 2,0.54,,0.41,0.11,0.01,GC,EA Canada
5631,The Incredible Hulk: Ultimate Destruction,0.54,,0.26,0.2,0.07,PS2,Radical Entertainment
5632,LEGO The Incredibles,0.53,,0.18,0.27,0.09,PS4,Traveller's Tales
5633,Dragon Age: Inquisition,0.53,,0.36,0.12,0.05,X360,BioWare Edmonton
5634,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",0.53,0.53,,,,SAT,Sega
5635,Rune Factory: A Fantasy Harvest Moon,0.53,0.14,0.35,0.01,0.03,DS,Neverland Company
5636,Time Crisis II,0.53,,0.26,0.2,0.07,PS2,Namco
5637,Clock Tower,0.53,0.38,0.07,0.05,0.03,PS,Human Entertainment
5638,Disney Infinity 3.0,0.53,,0.3,0.19,0.05,X360,Avalanche Software
5640,NCAA March Madness 06,0.53,,0.45,0.02,0.07,PS2,EA Canada
5641,Jampack Volume 11,0.53,,0.26,0.2,0.07,PS2,Sony Computer Entertainment America
5642,G-Force,0.53,,0.26,0.22,0.05,DS,Keen Games
5643,Legacy of Kain: Defiance,0.53,,0.26,0.2,0.07,PS2,Crystal Dynamics
5644,SpongeBob SquarePants: Game Boy Advance Video Volume 2,0.53,,0.38,0.14,0.01,GBA,Majesco Games
5645,Hello Kitty: Big City Dreams,0.53,,0.42,0.07,0.04,DS,"Human Soft, Inc."
5646,007 Racing,0.53,,0.3,0.2,0.03,PS,Eutechnyx
5647,NCAA March Madness 2005,0.53,,0.44,0.02,0.07,PS2,EA Canada
5648,Unit 13,0.53,0.04,0.25,0.15,0.09,PSV,Zipper Interactive
5649,Conflict: Vietnam,0.53,,0.26,0.2,0.07,PS2,Pivotal Games
5650,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,0.53,,0.4,0.11,0.02,XB,Sega
5651,Phoenix Wright: Ace Attorney - Justice for All,0.53,0.26,0.21,0.04,0.03,DS,Capcom
5652,MLB SlugFest 20-04,0.53,,0.26,0.2,0.07,PS2,Criterion Games
5653,Gex 3: Deep Cover Gecko,0.53,,0.3,0.2,0.03,PS,Crystal Dynamics
5654,Blitz: The League,0.53,,0.4,0.11,0.02,XB,Midway Games
5655,NASCAR 09,0.53,,0.26,0.2,0.07,PS2,EA Tiburon
5656,Jampack Vol. 2,0.53,,0.3,0.2,0.03,PS,Sony Computer Entertainment America
5657,Inazuma Eleven,0.53,0.38,,0.13,0.02,DS,Level 5
5658,Virtual Soccer,0.53,0.53,,,,SNES,Probe Entertainment Limited
5659,Romance of the Three Kingdoms IV: Wall of Fire,0.53,0.53,,,,SNES,Koei / Inis
5660,Michael Jackson: The Experience,0.53,,0.25,0.19,0.09,PS3,Ubisoft Montreal
5661,Excite Truck,0.53,0.08,0.39,0.03,0.04,Wii,Monster Games Inc.
5662,Winning Post,0.53,0.53,,,,SNES,Koei
5663,Peter Jackson's King Kong: The Official Game of the Movie,0.53,,0.34,0.17,0.02,XB,Ubisoft Montpellier
5664,Burnout Revenge,0.53,,0.32,0.19,0.01,XB,Criterion Games
5665,Medal of Honor: European Assault,0.53,,0.32,0.19,0.02,XB,EA Los Angeles
5667,Ty the Tasmanian Tiger 2: Bush Rescue,0.53,,0.26,0.2,0.07,PS2,Krome Studios
5668,The Lord of the Rings: The Fellowship of the Ring,0.53,,0.31,0.19,0.03,XB,WXP
